Record ID,Implementation Name,Implementation Type,Implementation pipeline stage,Time in current stage,Date entered current stage,PO Date,Implementation Live/Complete,Duration between PO date and Live/Complete Date,Estimated Go-Live Date,Object create date/time,"Date entered ""Not Started (Implementation Pipeline)""","Date exited ""Not Started (Implementation Pipeline)""","Date entered ""Pending Sales Purchase Review (Implementation Pipeline)""","Date exited ""Pending Sales Purchase Review (Implementation Pipeline)""","Date entered ""Pending Kickoff Call (Implementation Pipeline)""","Date exited ""Pending Kickoff Call (Implementation Pipeline)""","Date entered ""Pending Technical Readiness (Implementation Pipeline)""","Date exited ""Pending Technical Readiness (Implementation Pipeline)""","Date entered ""Pending Server Tour (Implementation Pipeline)""","Date exited ""Pending Server Tour (Implementation Pipeline)""","Date entered ""Pending Server/Remote Access (Implementation Pipeline)""","Date exited ""Pending Server/Remote Access (Implementation Pipeline)""","Date entered ""Pending Software Installation (Implementation Pipeline)""","Date exited ""Pending Software Installation (Implementation Pipeline)""","Date entered ""Software Installation Completed (Implementation Pipeline)""","Date exited ""Software Installation Completed (Implementation Pipeline)""","Date entered ""Network Testing (Implementation Pipeline)""","Date exited ""Network Testing (Implementation Pipeline)""","Date entered ""Network Testing Completed (Implementation Pipeline)""","Date exited ""Network Testing Completed (Implementation Pipeline)""","Date entered ""In Progress (Implementation Pipeline)""","Date exited ""In Progress (Implementation Pipeline)""","Date entered ""In Training (Implementation Pipeline)""","Date exited ""In Training (Implementation Pipeline)""","Date entered ""Waiting on Customer (Implementation Pipeline)""","Date exited ""Waiting on Customer (Implementation Pipeline)""","Date entered ""Waiting on GD (Implementation Pipeline)""","Date exited ""Waiting on GD (Implementation Pipeline)""","Date entered ""On-hold (Implementation Pipeline)""","Date exited ""On-hold (Implementation Pipeline)""","Date entered ""Go-Live Scheduled (Implementation Pipeline)""","Date exited ""Go-Live Scheduled (Implementation Pipeline)""","Date entered ""Implementation Live/Complete (Implementation Pipeline)""","Date exited ""Implementation Live/Complete (Implementation Pipeline)"""
33000001,Implementation 33000001,e-Bridge,Not Started,259200000,2026-06-28T00:00:00Z,07/09/2026,,,11/06/2026,2026-06-26T00:00:00Z,2026-06-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000002,Implementation 33000002,CAREpoint,Not Started,345600000,2026-06-27T00:00:00Z,07/02/2026,,,10/30/2026,2026-06-13T00:00:00Z,2026-06-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000003,Implementation 33000003,CAREpoint,Not Started,432000000,2026-06-26T00:00:00Z,06/17/2026,,,10/15/2026,2026-06-02T00:00:00Z,2026-06-26T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000004,Implementation 33000004,e-Bridge,Not Started,518400000,2026-06-25T00:00:00Z,06/21/2026,,,10/19/2026,2026-06-09T00:00:00Z,2026-06-25T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000005,Implementation 33000005,e-Bridge,Not Started,604800000,2026-06-24T00:00:00Z,06/30/2026,,,10/28/2026,2026-06-11T00:00:00Z,2026-06-24T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000006,Implementation 33000006,e-Bridge,Not Started,691200000,2026-06-23T00:00:00Z,06/23/2026,,,10/21/2026,2026-06-15T00:00:00Z,2026-06-23T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000007,Implementation 33000007,CAREpoint,Not Started,777600000,2026-06-22T00:00:00Z,07/08/2026,,,11/05/2026,2026-06-30T00:00:00Z,2026-06-22T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000008,Implementation 33000008,CAREpoint,Not Started,864000000,2026-06-21T00:00:00Z,06/22/2026,,,10/20/2026,2026-06-18T00:00:00Z,2026-06-21T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000009,Implementation 33000009,CAREpoint,Not Started,950400000,2026-06-20T00:00:00Z,06/08/2026,,,10/06/2026,2026-06-02T00:00:00Z,2026-06-20T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000010,Implementation 33000010,CAREpoint,Not Started,1036800000,2026-06-19T00:00:00Z,07/02/2026,,,10/30/2026,2026-06-14T00:00:00Z,2026-06-19T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000011,Implementation 33000011,CAREpoint,Not Started,1123200000,2026-06-18T00:00:00Z,06/25/2026,2026-04-28,-5011200000,10/23/2026,2026-06-12T00:00:00Z,2026-06-18T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000012,Implementation 33000012,CAREpoint,Not Started,172800000,2026-06-29T00:00:00Z,06/11/2026,,,10/09/2026,2026-06-09T00:00:00Z,2026-06-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000013,Implementation 33000013,CAREpoint,Not Started,259200000,2026-06-28T00:00:00Z,07/18/2026,,,11/15/2026,2026-06-30T00:00:00Z,2026-06-28T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000014,Implementation 33000014,CAREpoint,Not Started,345600000,2026-06-27T00:00:00Z,06/22/2026,,,10/20/2026,2026-06-18T00:00:00Z,2026-06-27T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000015,Implementation 33000015,CAREpoint,Not Started,432000000,2026-06-26T00:00:00Z,07/08/2026,,,11/05/2026,2026-06-19T00:00:00Z,2026-06-26T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000016,Implementation 33000016,CAREpoint,Not Started,518400000,2026-06-25T00:00:00Z,06/28/2026,,,10/26/2026,2026-06-17T00:00:00Z,2026-06-25T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000017,Implementation 33000017,CAREpoint,Not Started,604800000,2026-06-24T00:00:00Z,07/10/2026,,,11/07/2026,2026-06-20T00:00:00Z,2026-06-24T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000018,Implementation 33000018,CAREpoint,Not Started,691200000,2026-06-23T00:00:00Z,05/28/2026,,,09/25/2026,2026-05-25T00:00:00Z,2026-06-23T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000019,Implementation 33000019,CAREpoint,Not Started,777600000,2026-06-22T00:00:00Z,06/20/2026,,,10/18/2026,2026-06-17T00:00:00Z,2026-06-22T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000020,Implementation 33000020,e-Bridge,Not Started,864000000,2026-06-21T00:00:00Z,06/13/2026,,,10/11/2026,2026-06-09T00:00:00Z,2026-06-21T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000021,Implementation 33000021,CAREpoint,Not Started,950400000,2026-06-20T00:00:00Z,07/10/2026,,,11/07/2026,2026-06-22T00:00:00Z,2026-06-20T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000022,Implementation 33000022,CAREpoint,Not Started,1036800000,2026-06-19T00:00:00Z,06/29/2026,,,10/27/2026,2026-06-09T00:00:00Z,2026-06-19T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000023,Implementation 33000023,CAREpoint,Not Started,1123200000,2026-06-18T00:00:00Z,05/25/2026,,,09/22/2026,2026-05-20T00:00:00Z,2026-06-18T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000024,Implementation 33000024,CAREpoint;e-Bridge,Not Started,172800000,2026-06-29T00:00:00Z,06/30/2026,,,10/28/2026,2026-06-11T00:00:00Z,2026-06-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
